observable_id,pauli_string,group_id,circuit_index,bits,invert
P0746,Y3 Z4 Z5 Z6 Z7 Z9 Z10 Y11,WT_TMP_G0013,0,3;4;5;6;7;9;10;11,false
P0894,Y3 Z4 Z5 Z6 Z7 Z8 Z9 Y11,WT_TMP_G0013,0,3;4;5;6;7;8;9;11,false
P1028,Y3 Z5 Z6 Z7 Z8 Z9 Z10 Y11,WT_TMP_G0013,0,3;5;6;7;8;9;10;11,false
P1086,Y3 Z4 Z6 Z7 Z8 Z9 Z10 Y11,WT_TMP_G0013,0,3;4;6;7;8;9;10;11,false
P1256,Y0 Y2,WT_TMP_G0013,0,0;2,false
P1305,Y3 Z4 Z5 Z7 Z8 Z9 Z10 Y11,WT_TMP_G0013,0,3;4;5;7;8;9;10;11,false
P1330,Y0 Z1 Y2 Z7,WT_TMP_G0013,0,0;1;2;7,false
P1345,Y0 Z1 Y2 Z9,WT_TMP_G0013,0,0;1;2;9,false
P1407,Y0 Z1 Y2 Z10,WT_TMP_G0013,0,0;1;2;10,false
P1448,Y3 Z4 Z5 Z6 Z8 Z9 Z10 Y11,WT_TMP_G0013,0,3;4;5;6;8;9;10;11,false
P1530,Y0 Z1 Y2 Z4,WT_TMP_G0013,0,0;1;2;4,false
P1531,Z1 Y3 Z4 Z5 Z6 Z7 Z8 Z9 Z10 Y11,WT_TMP_G0013,0,1;3;4;5;6;7;8;9;10;11,false
P1532,Y0 Z1 Y2 Z5,WT_TMP_G0013,0,0;1;2;5,false
P1542,Y0 Z1 Y2,WT_TMP_G0013,0,0;1;2,false
P1551,Y0 Z1 Y2 Z6,WT_TMP_G0013,0,0;1;2;6,false
P1555,Y0 Z1 Y2 Y3 Z4 Z5 Z6 Z7 Z8 Z9 Z10 Y11,WT_TMP_G0013,0,0;1;2;3;4;5;6;7;8;9;10;11,false
P1626,Y3 Z4 Z5 Z6 Z7 Z8 Z9 Z10 Y11,WT_TMP_G0013,0,3;4;5;6;7;8;9;10;11,false
P0223,Y3 Z4 Z5 Z6 Y7,WT_TMP_G0014,0,3;4;5;6;7,false
P0816,Y3 Z4 Z5 Y7,WT_TMP_G0014,0,3;4;5;7,false
P1096,Y2 Y3 Y7 Y8,WT_TMP_G0014,0,2;3;7;8,false
P1309,Z1 Y3 Z4 Z5 Z6 Y7,WT_TMP_G0014,0,1;3;4;5;6;7,false
P1513,Y2 Y3 X10 X11,WT_TMP_G0014,0,2;3;10;11,false
P1540,X0 Z1 Y2 Y8 Z9 X10,WT_TMP_G0014,0,0;1;2;8;9;10,false
P1609,Y3 Z4 Z5 Z6 Y7 Z9,WT_TMP_G0014,0,3;4;5;6;7;9,false
P1677,Y3 Z4 Z6 Y7,WT_TMP_G0014,0,3;4;6;7,false
P1774,Y3 Z5 Z6 Y7,WT_TMP_G0014,0,3;5;6;7,false
P0371,Z10 Z11,WT_TMP_G0015,0,10;11,false
P0589,Z0 Z10,WT_TMP_G0015,0,0;10,false
P0636,Z0 Y4 Z5 Y6,WT_TMP_G0015,0,0;4;5;6,false
P0903,Z2 Y4 Z5 Y6,WT_TMP_G0015,0,2;4;5;6,false
P1078,Z2 Y6 Z7 Y8,WT_TMP_G0015,0,2;6;7;8,false
P1286,Y4 Z5 Y6 Z11,WT_TMP_G0015,0,4;5;6;11,false
P1293,Z3 Z11,WT_TMP_G0015,0,3;11,false
P1398,Y1 Z2 Z3 Y4 Y8 Y9,WT_TMP_G0015,0,1;2;3;4;8;9,false
P1504,Y6 Z7 Y8 Z11,WT_TMP_G0015,0,6;7;8;11,false
